Id,Move,Type,RecordType,Priority,DateLastDone,ImageURL,Description,Tags,Periodization,Other Muscles,Primary Muscle,LearnedFrom,Description,State,CurrentRecReps
1,Pulling Wall-Lat Stretch,Stretch,Duration,3,12-21-21,,,,,Obliques,Lats,,,,
2,"Foot ""Pull"" w/ R Band Stretch",Stretch,Reps,3,12-22-21,,,,,Leg (whole),,James B.,"Let leg be pulled in position while lying down, breathe and relax.",,
3,Leaning Groin Stretch,Stretch,Reps,3,12-23-21,,,,,,,Dao M.,"Pigeon Pose, but on a raised soft surface",,
4,Hamstring V Sit Stretch,Stretch,Duration,3,12-24-21,,,,,,Hamstrings,Olivia S.,,,
5,Hip Flexor Stretch w/ Diagonal Back Leg,Stretch,Mixed,3,12-25-21,,,,,,,,,,
6,Serratus Foam Roller Stretch *Jesse,Stretch,Duration,3,12-26-21,,,,,,Serratus Anterior,Jesse R.,,,
7,Posterior Cuff w/ Elbow Ext. Rotation,Release,Duration,3,12-27-21,,,,,,,James B. ,,,
8,Psoas Ball lie-down,Release,Duration,3,12-28-21,,,,,,,,,,
9,Pec Minor Ball Release,Release,Duration,3,12-29-21,,,,,,Serratus Anterior,James B. ,,,
10,Pistol Squats w/ R Band,Strengthen,Reps,3,12-30-21,,,,,Leg (whole),,Andrew,,"Mobility, Balance",
11,Side Plank Clamshells,Strengthen,Reps,3,12-31-21,,,,,Obliiques,Glutes,Marissa H.,,,
12,Touch Knee Glute (Short RDL),Strengthen,Reps,2,1-1-22,,,,,,Glutes,Dr. Jo,,,
13,Elephant Walk,Strengthen,Reps,2,1-2-22,,,,,,,,,,
14,Nordic curls,Strengthen,Reps,3,1-3-22,,,,,,,,,,
15,Hang Stretches,Stretch,Duration,1,1-3-22,,,,,,"Chest, Serratus",,,,
16,Piriformis Release [Thrival],Release,Duration,1,1-3-22,,,,,,,,,,
17,Foundational 4min exercise,Flow,Do,2,12-23-21,https://dsc.cloud/4a22b2/foundation-training.png,,,,,,,,,
18,Morn Yoga Flow (Kassandra) 15min,Flow,Do,0,12-24-21,https://dsc.cloud/4a22b2/cassandra.png,,,,,,,,,
19,Morning 3 Treasure (priority) 3X45sX15s,Flow,Do,1,12-25-21,,,,,,,,,,
20,RingWork Combo (TBD),Flow,Do,3,12-24-21,,,,,,,,,,
21,Capoeira,Workout,Duration,2,12-24-21,,,,,,,,,,
22,BodyRoll,TechniqueRepeat,Duration,1,12-24-21,,,,,,,,,,
23,Dance Posture Hold (w/ faces),TechniqueRepeat,Do,2,12-31-21,,,,,,,,,,
24,Hip Figure 8 Against Wall,TechniqueRepeat,Duration,2,1-1-22,,,,,,,,,,
25,Toe Flex Brush,TechniqueRepeat,Reps,2,1-2-22,,,,,,,,,,
26,Dynamic Frame Walk,Flow,Duration,1,1-3-22,,,,,,,,,,
27,Dance,Workout,Duration,2,1-4-22,,,,,,,,,,
28,Run,Workout,Duration,2,1-5-22,,,,,,,,,,
29,Lift,Workout,Duration,2,1-6-22,,,,,,,,,,
30,Bodyweight,Workout,Duration,2,1-7-22,,,,,,,,,,
31,[Duo] Str & Cardio,Workout,Duration,2,1-8-22,,7min+,,,,,,,,
32,Martial-Arts,Workout,Duration,2,1-9-22,,,,,,,,,,
33,HIIT,Workout,Duration,0,1-10-22,,Aiming for 2-3x week,,,,,,,,
34,Strength Side Flow (6min~),Flow,Do,0,01-03-22,,,,,,,,,,
35,Standup from Seat (Boblett),TechniqueRepeat,Reps,2,01-05-22,,,,,,,,,,
36,Latin Jive Twists,TechniqueRepeat,Duration,1,01-05-22,,,,,,,,,,
37,[Duo] Now & Future Gratefulness,Affirmation,Do,1,01-11-22,,"Full: I had a good day, I'm excited for tomorrow 9pm-Before Sleep",,,,,,,,
38,Roll with the punches,Affirmation,Do,1,01-12-22,,Full: Roll with the punches till the punches get rolled!-Morning on Wakeup-Anytime things happen,,,,,,,,
39,I am Grateful,Affirmation,Do,1,01-13-22,,"Full: I am grateful for many things- one of which is...Thank you. Ideally, biweekly you go to Sunday church & listen for a bit.",,,,,,,,
40,I *Will* Have a good Day,Affirmation,Do,2,01-13-22,,Do in morning-otherwise its all good,,,,,,,,
41,I fucking got this x10,Affirmation,Reps,0,,,Aim for 100 per day-set goal-I-fucking-got-this-like nobody’s-bus-iness! ⚔️,,,,,,,,
42,Mid-Day Walk Stretch (Air),Stretch,Do,0,01-13-22,,Elephant Walks || Shoulder Swings|| Frame Walks ||Yoga warrior pose down || arms behind head scap & forward trap ,,,,,,,,
43,Mid-Day Break-by-rolling (Earth) ,Release,Do,0,01-13-22,,"30-45s per each muscle on right: Equipment: (Lacrosse Ball & Shua Gua) || Traps || Chest || Pec Minor || Shoulder || Teres Minor || Subscap || Armpit area || Lats || TFL
",,,,,,,,
44,Baby don't trip,Affirmation,Reps,0,01-13-22,,Nah Nah Nah baby don't trip - people not respond etc its all a flip,,,,,,,,
45,Wind-Down End-day Routine,Ritual,Do,0,01-15-22,,Walk w/ music---Get home and get water---charge electronics while checking calender and wework and * --- pack backpack --- listen to podcast while doing any order of writing---music---yoga ideally last---vagus nerve,,,,,,,,
46,Deep Breaths,TechniqueRepeat,Reps,0,01-24-22,,"100x day - As of 01-24-22
Focus on how you feel not using chest and sensing other","biohack, air",,,,,,,
47,8 cups of water,TechniqueRepeat,Reps,0,01-24-22,,"Description (~Every hour) on ""counter"" app","biohack, system",,,,,,,
48,Wear Gunnar Glasses On ,TechniqueRepeat,Do,0,01-25-22,,Protects eyes and brain strain,"biohack, eyes",,,,,,,
49,Fresh Air accumlate (60min),TechniqueRepeat,Reps,0,01-26-22,,,"biohack, air",,,,,,,
50,"Cold Shower/ Cold exposure (Seconds, min, hour)",TechniqueRepeat,Reps,0,01-26-22,,5s or more,"biohack, air",,,,,,,
51,1 slice of bread max daily (for now) sub 75g ,TechniqueRepeat,Do,0,01-26-22,,,"biohack, air",,,,,,,
52,Sunscreen Daily (morn),TechniqueRepeat,Do,0,01-26-22,,,"biohack, air",,,,,,,
53,30+ Burpees,Tik,Reps,2,01-26-22,,"01-27-22 onwards, each week add +10","eod, spartan-race",,,,,,,
54,Grip Strength Follow Along ,Workout,Do,2,01-26-22,,https://www.youtube.com/watch?v=VMbhtPPa11I&list=PLRpkzoMo7s2ZTVdIoe9-hRS97JQt8JNf9,"eod, spartan-race",,,,,,,
55,Drink Ashwagandha,Tik,Do,2,01-26-22,,,relax,,,,,,,
56,Drink/Make/Buy 🍵 Matcha Latte w/ Honey! ,Tik,Do,2,01-26-22,,,relax,,,,,,,
57,Watch Anime w/ Brother or Friend,Tik,Do,2,01-26-22,,,relax,,,,,,,
58,OneWheel Excursion,Tik,Do,2,01-26-22,,,relax,,,,,,,